id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
100434,Sardegna,2-sardegna-vini-rossi,34,1,0,0,0,,0
100436,Sicilia,2-sicilia-vini-rossi,34,1,0,0,0,,0
100438,Toscana,2-toscana-vini-rossi,34,1,0,0,0,,0
100440,Trentino-Alto Adige,2-trentino-alto adige-vini-rossi,34,1,0,0,0,,0
100442,Umbria,2-umbria-vini-rossi,34,1,0,0,0,,0
100444,Valle d'Aosta,2-valle d'aosta-vini-rossi,34,1,0,0,0,,0
100446,Veneto,2-veneto-vini-rossi,34,1,0,0,0,,0
100448,Vini Rosati,2-vini rosati-vini-rosati,35,1,0,0,0,,0
100450,Vini da Dessert,2-vini da dessert-vini-da-dessert,36,1,0,0,0,,0
100452,Bollicine,2-bollicine-bollicine,37,1,0,0,0,,0
100454,Ambrate,2-ambrate-birre,38,1,0,0,0,,0
100456,Bionde,2-bionde-birre,38,1,0,0,0,,0
100458,Grappe,2-grappe-grappe-e-liquori,39,1,0,0,0,,0
100460,Liquori,2-liquori-grappe-e-liquori,39,1,0,0,0,,0
100462,Grandi del risparmio,2-grandi-del-risparmio,40,1,0,0,0,,0
100464,Protezione bambini,2-protezione-bambini,41,1,5,0,0,,0
100466,Creme viso e corpo,2-creme-viso-corpo,41,1,4,0,0,,0
100468,Oli e abbronzanti,2-oli-abbronzanti,41,1,3,0,0,,0
100470,Doposole e idratanti,2-doposole-idratanti,41,1,2,0,0,,0
100472,Cosmetica mare,2-cosmetica-mare,41,1,1,0,0,,0
100474,Biscotti e Snack Gelati,2-gelati-snack,42,1,5,0,0,,0
100476,Coni,2-coni,42,1,7,0,0,,0
100478,Stecchi,2-stecchi,42,1,4,0,0,,0
100480,Sorbetti e ghiaccioli,2-sorbetti-e-ghiaccioli,42,1,3,0,0,,0
100482,Coppe,2-coppe,42,1,2,0,0,,0
100484,Vaschette,2-vaschette,42,1,6,0,0,,0
100486,Torte e dessert,2-torte-e-dessert,42,1,1,0,0,,0
100488,Merluzzo e nasello,2-sdm-merluzzo-nasello,43,1,54,0,0,,0
100490,Salmone e trota,2-sdm-salmone-trota,43,1,53,0,0,,0
100492,Sgombro e triglia,2-sdm-sgombro-triglia,43,1,52,0,0,,0
100494,"Branzino, Orata e Cernia",2-sdm-branzino-orata-cernia,43,1,51,0,0,,0
100496,Platessa e rombo,2-sdm-platessa-rombo,43,1,50,0,0,,0
100498,Pesce spada e tonno,2-sdm-pesce-spada-tonno,43,1,49,0,0,,0
100500,Altri filetti e tranci,2-sdm-altri-filetti-tranci,43,1,48,0,0,,0
100502,Altro pesce intero,2-sdm-altro-pesce-intero,43,1,47,0,0,,0
100504,Calamari e polpi,2-sdm-calamari-polpi,44,1,46,0,0,,0
